PID,day,source_file,n_rows,n_blocks,n_events,min_block,max_block,duplicate_block_event,non_monotonic_time,invalid_sequence,invalid_is_hit,invalid_target,invalid_pressed,is_complete_960,is_complete_120_blocks,is_complete_modal_rows,is_complete_modal_blocks,modal_expected_rows,modal_expected_blocks
25,2,/home/ck/Code/analyse_data_valentin/data/25/GR_25_Hr_25_20250719_FRA_2_fertig.csv,952,119,952,1,119,0,0,0,0,0,0,False,False,True,True,952,119
28,1,/home/ck/Code/analyse_data_valentin/data/28/GR_28_Fr_28_20250330_FRA_1_fertig.csv,952,119,952,1,119,0,0,0,0,0,0,False,False,True,True,952,119
28,2,/home/ck/Code/analyse_data_valentin/data/28/GR_28_Fr_28_20250331_FRA_2_fertig.csv,952,119,952,1,119,0,0,0,0,0,0,False,False,True,True,952,119
29,1,/home/ck/Code/analyse_data_valentin/data/29/GR_29_Hr_29_20250707_FRA_1_fertig.csv,952,119,952,1,119,0,0,0,0,0,0,False,False,True,True,952,119
29,2,/home/ck/Code/analyse_data_valentin/data/29/GR_29_Hr_29_20250709_FRA_2_fertig.csv,952,119,952,1,119,0,0,0,0,0,0,False,False,True,True,952,119
30,1,/home/ck/Code/analyse_data_valentin/data/30/GR_30_Hr_30_20250519_FRA_1_fertig.csv,952,119,952,1,119,0,0,0,0,0,0,False,False,True,True,952,119
30,2,/home/ck/Code/analyse_data_valentin/data/30/GR_30_Hr._30_20250522_FRA_2_fertig.csv,952,119,952,1,119,0,0,0,0,0,0,False,False,True,True,952,119
31,1,/home/ck/Code/analyse_data_valentin/data/31/GR_31_Hr_31_20250613_FRA_1_fertig.csv,952,119,952,1,119,0,0,0,0,0,0,False,False,True,True,952,119
31,2,/home/ck/Code/analyse_data_valentin/data/31/GR_31_Hr_31_20250614_FRA_2_fertig.csv,952,119,952,1,119,0,0,0,0,0,0,False,False,True,True,952,119
33,1,/home/ck/Code/analyse_data_valentin/data/33/GR_33_Hr_33_20250915_FRA_1_fertig.csv,864,108,864,1,108,0,0,0,0,0,0,False,False,False,False,952,119
33,2,/home/ck/Code/analyse_data_valentin/data/33/GR_33_Hr_33_20250916_FRA_2_fertig.csv,952,119,952,1,119,0,0,0,0,0,0,False,False,True,True,952,119
34,1,/home/ck/Code/analyse_data_valentin/data/34/GR_34_Hr_34_20250701_FRA_1_fertig.csv,952,119,952,1,119,0,0,0,0,0,0,False,False,True,True,952,119
34,2,/home/ck/Code/analyse_data_valentin/data/34/GR_34_Hr_34_20250702_FRA_2_fertig.csv,952,119,952,1,119,0,0,0,0,0,0,False,False,True,True,952,119
35,1,/home/ck/Code/analyse_data_valentin/data/35/GR_35_Hr._35_20250401_FRA_1_fertig.csv,952,119,952,1,119,0,0,0,0,0,0,False,False,True,True,952,119
35,2,/home/ck/Code/analyse_data_valentin/data/35/GR_35_Hr_35_20250402_FRA_2_fertig.csv,952,119,952,1,119,0,0,0,0,0,0,False,False,True,True,952,119
36,1,/home/ck/Code/analyse_data_valentin/data/36/GR_36_Fr._36_20250612_FRA_1_fertig.csv,952,119,952,1,119,0,0,0,0,0,0,False,False,True,True,952,119
36,2,/home/ck/Code/analyse_data_valentin/data/36/GR_36_Fr. _36_20250613_FRA_2_fertig.csv,952,119,952,1,119,0,0,0,0,0,0,False,False,True,True,952,119
37,1,/home/ck/Code/analyse_data_valentin/data/37/GR_37_Hr_37_20250319_FRA_1_fertig.csv,952,119,952,1,119,0,0,0,0,0,0,False,False,True,True,952,119
37,2,/home/ck/Code/analyse_data_valentin/data/37/GR_37_Hr._37_20250320_FRA_2_fertig.csv,952,119,952,1,119,0,0,0,0,0,0,False,False,True,True,952,119
39,1,/home/ck/Code/analyse_data_valentin/data/39/GR_39_Hr_39_20250907_FRA_1_fertig.csv,952,119,952,1,119,0,0,0,0,0,0,False,False,True,True,952,119
39,2,/home/ck/Code/analyse_data_valentin/data/39/GR_39_Hr_39_20250908_FRA_2_fertig.csv,952,119,952,1,119,0,0,0,0,0,0,False,False,True,True,952,119
40,1,/home/ck/Code/analyse_data_valentin/data/40/GR_40_Hr_40_20250217_FRA_1_fertig.csv,952,119,952,1,119,0,0,0,0,0,0,False,False,True,True,952,119
40,2,/home/ck/Code/analyse_data_valentin/data/40/GR_40_Hr_40_20250218_FRA_2_fertig.csv,952,119,952,1,119,0,0,0,0,0,0,False,False,True,True,952,119
41,1,/home/ck/Code/analyse_data_valentin/data/41/GR_41_Hr_41_20250827_FRA_1_fertig.csv,952,119,952,1,119,0,0,0,0,0,0,False,False,True,True,952,119
41,2,/home/ck/Code/analyse_data_valentin/data/41/GR_41_Hr_41_20250828_FRA_2_fertig.csv,952,119,952,1,119,0,0,0,0,0,0,False,False,True,True,952,119
42,1,/home/ck/Code/analyse_data_valentin/data/42/GR_42_Fr._42_20250605_FRA_1_fertig.csv,952,119,952,1,119,0,0,0,0,0,0,False,False,True,True,952,119
42,2,/home/ck/Code/analyse_data_valentin/data/42/GR_42_Fr_42_20250606_FRA_2_fertig.csv,952,119,952,1,119,0,0,0,0,0,0,False,False,True,True,952,119
43,1,/home/ck/Code/analyse_data_valentin/data/43/GR_43_Hr_43_20251009_FRA_1_fertig.csv,952,119,952,1,119,0,0,0,0,0,0,False,False,True,True,952,119
43,2,/home/ck/Code/analyse_data_valentin/data/43/GR_43_Hr_43_20251010_FRA_2_fertig.csv,952,119,952,1,119,0,0,0,0,0,0,False,False,True,True,952,119
